candidate_id,zipcode,latitude,longitude,geo_missing_flag
1,10001,40.7418931677079,-74.00014023998185,False
2,10001,40.7520069733203,-74.00543584763324,False
3,10001,40.750544987480225,-73.99714706994247,False
4,10001,40.74407999953524,-74.00193173438153,False
5,10001,40.74869025486597,-73.99934144838926,False
6,10001,40.74753039782525,-73.99995045236471,False
7,10001,40.75780987387191,-74.00403121136509,False
8,10001,40.74033607906357,-73.99983216542418,False
9,10001,40.75022053801741,-73.99351647056301,False
10,10001,40.746345134943354,-73.98671444012156,False
11,10001,40.74543785992386,-73.9922718666408,False
12,10001,40.75115165389061,-73.99043892273505,False
13,10001,40.757924513269074,-73.98890412687109,False
14,10001,40.75369123948715,-73.99273503044364,False
15,10001,40.74510996339352,-74.00374628843586,False
16,10001,40.739652720061194,-74.00186196591598,False
17,10001,40.74704562962362,-73.9962600745274,False
18,10001,40.7538616710811,-73.98752518153887,False
19,10001,40.740746409607695,-74.00455991719613,False
20,10001,40.75019389446027,-73.99179203852106,False
21,10001,40.75536300760694,-73.98798335839567,False
22,10001,40.75806852484521,-73.99870396615552,False
23,10001,40.746006703670545,-74.00374382646606,False
24,10001,40.75209868877367,-73.99356476083119,False
25,10001,40.75564125191702,-74.00475484010425,False
26,10001,40.7483555381565,-73.99507836140657,False
27,10001,40.743231140800795,-74.00331949187742,False
28,10001,40.75559161672839,-74.0055293015553,False
29,10001,40.74781241807836,-74.00438331997398,False
30,10001,40.74754117522662,-73.98710075347316,False
31,10001,40.746874127069105,-73.98955750164991,False
32,10001,40.74074631128366,-74.00127495846476,False
33,10001,40.74647585481334,-73.99870375719982,False
34,10001,40.7518276695734,-73.9998056374525,False
35,10001,40.75267533736819,-73.9939162620155,False
36,10001,40.746383222905095,-73.99806479744692,False
37,10001,40.7506905539962,-74.00529915619711,False
38,10001,40.75484813476711,-73.99363157677773,False
39,10001,40.75292684928835,-73.99596153997835,False
40,10001,40.74060954221983,-73.99859928773407,False
41,10001,40.74650747165697,-74.00027914019914,False
42,10001,40.73899900649809,-73.99195491514807,False
43,10001,40.740595689161246,-73.9945738373391,False
44,10001,40.75246434992934,-73.99400427354134,False
45,10001,40.75758284503956,-74.0046340368983,False
46,10001,40.755743343182104,-74.00611619530302,False
47,10001,40.74909833709854,-73.99861512764122,False
48,10001,40.74888367720787,-73.9993980024588,False
49,10001,40.742211338298794,-74.00631754205104,False
50,10001,40.74876299627582,-73.9898444627463,False
51,10001,40.745864319114894,-74.00224272363971,False
52,10001,40.74001064006944,-74.00499378153764,False
53,10001,40.742827928925855,-74.00469971878157,False
54,10001,40.743700793967285,-74.00537701075767,False
55,10001,40.73971209734419,-73.98957447640755,False
